Folder_Name,fCHL,fCDOM,fBBP,TS_corr,aw_spec,a_NAP_model,S_NAP,a_NAP_443,a_NAP_CORR,a_CDOM_model,S_CDOM,CDOM_TS_corr,aw_380_spec,depth_type,Kw_type,a_CDOM_CORR,a_PFT_use,bp_bbp_model,bb_ratio,bbp_slope,Q_depth,Comment
TEST_17,1,1,1,TRUE,MASON,Babin_BBP,0.0178,0.0087,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_min"
TEST_18,1,1,1,TRUE,MASON,Babin_BBP,0.0104,0.8,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_max"
TEST_19,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.05,FALSE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean"
TEST_20,1,1,1,TRUE,MASON,Babin_BBP,0.0129,0.05,TRUE,None,0,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Babin_BBP, a_NAP_mean_CORR"
TEST_21,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Case1_CHL,0.02,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 CHL - Morel and Gentili, a_CDOM_min"
TEST_22,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Case1_CHL,0.015,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 CHL - Morel and Gentili, a_CDOM_max"
TEST_23,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Case1_CHL,0.017,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 CHL - Morel and Gentili, a_CDOM_mean"
TEST_24,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Case1_CHL,0.017,FALSE,MASON,EUPH,MOREL,TRUE,FALSE,None,0,0,SURF,"Case 1 CHL - Morel and Gentili, a_CDOM_mean_CORR"
TEST_25,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Case1_CDOM,0.02,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 CDOM - Morel and Gentili, a_CDOM_min"
TEST_26,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Case1_CDOM,0.015,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 CDOM - Morel and Gentili, a_CDOM_max"
TEST_27,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Case1_CDOM,0.017,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Case 1 CDOM - Morel and Gentili, a_CDOM_mean"
TEST_28,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Case1_CDOM,0.017,FALSE,MASON,EUPH,MOREL,TRUE,FALSE,None,0,0,SURF,"Case 1 CDOM - Morel and Gentili, a_CDOM_mean_CORR"
TEST_29,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,FALSE,MASON,EUPH,MOREL,FALSE,FALSE,None,0,0,SURF,"Kbio_Morel value, first OD"
TEST_30,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,FALSE,LIT,EUPH,LIT,FALSE,FALSE,None,0,0,SURF,"Kbio_LIT, NO TS corr, first OD"
TEST_31,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,FALSE,MASON,EUPH,MASON,FALSE,FALSE,None,0,0,SURF,"Kbio_MASON, NO TS corr, first OD"
TEST_32,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,LIT,EUPH,LIT,FALSE,FALSE,None,0,0,SURF,"Kbio_LIT, with TS corr, first OD"
TEST_33,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,FALSE,None,0,0,SURF,"Kbio_MASON, with TS corr, first OD"
TEST_34,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,MLD,MASON,FALSE,FALSE,None,0,0,SURF,"Kbio_MASON, with TS corr, MLD"
TEST_35,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,None,0,0,SURF,aPFT Di Cicco
TEST_36,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,Case1_CHL,0.015,0,SURF,"Case 1 CHL - min bp, max bbp, Antoine"
TEST_37,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,Case1_CHL,0.002,0,SURF,"Case 1 CHL - max bp, min bbp, Antoine"
TEST_38,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,Case1_BBP,0.015,0,SURF,"Case 1 BBP - min bp, max bbp, Antoine"
TEST_39,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,Case1_BBP,0.002,0,SURF,"Case 1 BBP - max bp, min bbp, Antoine"
TEST_40,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.015,0,SURF,"From bbp700 - min bp, max bbp, Antoine"
TEST_41,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.002,4,SURF,"From bbp700 - max bp, min bbp, Antoine"
TEST_42,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.015,2,SURF,"From bbp700 - bratio_max, slope from BOUSSOLE"
TEST_43,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.002,2,SURF,"From bbp700 - bratio_min, slope from BOUSSOLE"
TEST_44,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.015,1,SURF,"From bbp700 - bratio_max, slope from Boss"
TEST_45,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.002,1,SURF,"From bbp700 - bratio_min, slope from Boss"
TEST_46,1,1,1,TRUE,MASON,Case1_CHL,0.0129,0,FALSE,Kbio_380,0.017,TRUE,MASON,EUPH,MASON,FALSE,TRUE,from_BBP700,0.015,2,10m,"From bbp700 - bratio_min, slope from Boss, Q from CHL[0-10m]"
